date,close
2019/6/12,3.4838
2019/6/13,3.4772
2019/6/14,3.4565
2019/6/17,3.4593
2019/6/18,3.4668
2019/6/19,3.5177
2019/6/20,3.6194
2019/6/21,3.626
2019/6/24,3.6316
2019/6/25,3.5949
2019/6/26,3.5959
2019/6/27,3.6354
2019/6/28,3.6345
2019/7/1,3.7239
2019/7/2,3.7296
2019/7/3,3.6985
2019/7/4,3.674
2019/7/5,3.6929
2019/7/8,3.6081
2019/7/9,3.5996
2019/7/10,3.6006
2019/7/11,3.6015
2019/7/12,3.6307
2019/7/15,3.6439
2019/7/16,3.6288
2019/7/17,3.6232
2019/7/18,3.5996
2019/7/19,3.6373
2019/7/22,3.609
2019/7/23,3.6175
2019/7/24,3.6467
2019/7/25,3.6797
2019/7/26,3.6844
2019/7/29,3.6787
2019/7/30,3.6957
2019/7/31,3.6693
2019/8/1,3.6354
2019/8/2,3.5798
2019/8/5,3.5177
2019/8/6,3.4809
2019/8/7,3.4583
2019/8/8,3.5092
2019/8/9,3.4819
2019/8/12,3.5375
2019/8/13,3.5073
2019/8/14,3.5205
2019/8/15,3.5346
2019/8/16,3.5497
2019/8/19,3.6345
2019/8/20,3.6194
2019/8/21,3.6185
2019/8/22,3.626
2019/8/23,3.6514
2019/8/26,3.6109
2019/8/27,3.6486
2019/8/28,3.6373
2019/8/29,3.6269
2019/8/30,3.6363
2019/9/2,3.6768
2019/9/3,3.6806
2019/9/4,3.7268
2019/9/5,3.7616
2019/9/6,3.787
2019/9/9,3.8021
2019/9/10,3.7917
2019/9/11,3.7644
2019/9/12,3.803
2019/9/16,3.7899
2019/9/17,3.7211
2019/9/18,3.7371
2019/9/19,3.755
2019/9/20,3.7607
2019/9/23,3.7277
2019/9/24,3.7305
2019/9/25,3.7051
2019/9/26,3.6797
2019/9/27,3.6881
2019/9/30,3.6439
2019/10/8,3.6674
2019/10/9,3.6778
2019/10/10,3.7042
2019/10/11,3.7494
2019/10/14,3.7767
2019/10/15,3.7644
2019/10/16,3.7513
2019/10/17,3.7569
2019/10/18,3.7023
2019/10/21,3.7108
2019/10/22,3.7249
2019/10/23,3.7051
2019/10/24,3.7098
2019/10/25,3.7324
2019/10/28,3.7541
2019/10/29,3.7418
2019/10/30,3.7173
2019/10/31,3.7155
2019/11/1,3.7917
2019/11/4,3.804
2019/11/5,3.8257
2019/11/6,3.8096
2019/11/7,3.8144
2019/11/8,3.7993
2019/11/11,3.7362
2019/11/12,3.7315
2019/11/13,3.7286
2019/11/14,3.7315
